iter	Logloss
0	0.6901270491
1	0.6886572316
2	0.6846158547
3	0.6803854336
4	0.6778269408
5	0.6757449443
6	0.6724328761
7	0.6691209973
8	0.6658407002
9	0.6625149747
10	0.6587978992
11	0.6569735886
12	0.6551760163
13	0.6521220408
14	0.6499363554
15	0.6473228537
16	0.6451462903
17	0.6428185014
18	0.6404194025
19	0.6374868052
20	0.6356277592
21	0.6333272795
22	0.631544482
23	0.6291010207
24	0.6277300008
25	0.627387482
26	0.6249389158
27	0.6226724365
28	0.6203586155
29	0.6183601885
30	0.6167412384
31	0.6150631004
32	0.6136435219
33	0.6114014758
34	0.6101048631
35	0.6090291109
36	0.6073524301
37	0.6059410725
38	0.6046083061
39	0.6040682813
40	0.6022157788
41	0.6003015121
42	0.5985765107
43	0.5983967562
44	0.5964506667
45	0.594830007
46	0.5934453083
47	0.5911491652
48	0.5896287101
49	0.5883003004
50	0.5867449866
51	0.5859571172
52	0.5844611799
53	0.5838289798
54	0.5827986879
55	0.5814999561
56	0.5796825059
57	0.5789721281
58	0.5776884944
59	0.5760690578
