iter	Passed	Remaining
0	8	8355
1	16	8101
2	24	8013
3	32	7968
4	39	7947
5	47	7935
6	56	7963
7	65	8061
8	74	8150
9	82	8141
10	90	8115
11	98	8111
12	106	8091
13	115	8116
14	123	8136
15	131	8106
16	139	8071
17	148	8081
18	156	8058
19	164	8064
20	173	8085
21	182	8097
22	190	8089
23	199	8096
24	207	8084
25	215	8086
26	224	8084
27	232	8080
28	240	8056
29	248	8030
30	256	8007
31	264	8008
32	273	8014
33	281	8004
34	289	7991
35	297	7970
36	305	7963
37	314	7952
38	322	7951
39	331	7949
40	339	7935
41	347	7916
42	354	7896
43	362	7878
44	370	7867
45	379	7860
46	387	7855
47	395	7840
48	403	7831
49	411	7815
50	419	7806
51	427	7795
52	435	7779
53	443	7762
54	450	7747
55	458	7732
56	467	7726
57	475	7717
58	483	7711
59	491	7697
